event_id,event_date,feature_id,event_type,severity,estimated_research_hours_at_risk,root_cause
EV0001,2025-10-23,FEAT010,late_delivery,low,1.2,vendor latency exceeded training cutoff
EV0002,2025-12-30,FEAT011,research_question,critical,8.2,researcher asked whether signal survives stricter validation
EV0003,2025-10-17,FEAT011,schema_shift,critical,7.1,new categorical value appeared without contract update
EV0004,2026-02-10,FEAT015,duplicate_records,high,5.0,publisher resend created duplicate observations
EV0005,2026-01-21,FEAT002,schema_shift,medium,4.3,new categorical value appeared without contract update
EV0006,2025-11-06,FEAT011,research_question,medium,1.7,researcher asked whether signal survives stricter validation
EV0007,2026-01-15,FEAT013,missing_spike,low,1.1,source collection coverage dropped by peer group
EV0008,2026-01-15,FEAT001,research_question,high,4.3,researcher asked whether signal survives stricter validation
EV0009,2026-02-18,FEAT009,missing_spike,high,8.3,source collection coverage dropped by peer group
EV0010,2026-01-06,FEAT006,schema_shift,high,8.0,new categorical value appeared without contract update
EV0011,2025-11-12,FEAT010,duplicate_records,medium,2.2,publisher resend created duplicate observations
EV0012,2026-01-26,FEAT007,schema_shift,low,0.6,new categorical value appeared without contract update
EV0013,2025-11-12,FEAT006,duplicate_records,medium,0.9,publisher resend created duplicate observations
EV0014,2026-01-01,FEAT001,restatement,medium,1.0,historical value changed after first availability
EV0015,2025-10-01,FEAT001,late_delivery,medium,4.8,vendor latency exceeded training cutoff
EV0016,2025-10-03,FEAT005,research_question,high,6.0,researcher asked whether signal survives stricter validation
EV0017,2026-01-22,FEAT011,schema_shift,critical,10.2,new categorical value appeared without contract update
EV0018,2025-10-10,FEAT010,missing_spike,medium,5.6,source collection coverage dropped by peer group
EV0019,2026-01-19,FEAT015,research_question,high,4.6,researcher asked whether signal survives stricter validation
EV0020,2025-12-18,FEAT006,late_delivery,medium,3.4,vendor latency exceeded training cutoff
EV0021,2025-12-25,FEAT004,missing_spike,low,1.1,source collection coverage dropped by peer group
EV0022,2025-11-21,FEAT007,research_question,medium,4.9,researcher asked whether signal survives stricter validation
EV0023,2025-10-14,FEAT011,schema_shift,medium,3.9,new categorical value appeared without contract update
EV0024,2025-11-13,FEAT009,duplicate_records,low,2.1,publisher resend created duplicate observations
EV0025,2025-12-24,FEAT008,missing_spike,low,0.9,source collection coverage dropped by peer group
EV0026,2026-02-23,FEAT003,late_delivery,low,1.3,vendor latency exceeded training cutoff
EV0027,2025-12-08,FEAT013,late_delivery,low,2.2,vendor latency exceeded training cutoff
EV0028,2025-11-21,FEAT007,schema_shift,low,1.0,new categorical value appeared without contract update
EV0029,2026-02-17,FEAT006,research_question,medium,4.7,researcher asked whether signal survives stricter validation
EV0030,2025-12-12,FEAT002,schema_shift,medium,1.9,new categorical value appeared without contract update
EV0031,2025-12-17,FEAT011,late_delivery,high,5.7,vendor latency exceeded training cutoff
EV0032,2025-10-08,FEAT007,research_question,low,0.9,researcher asked whether signal survives stricter validation
EV0033,2026-01-15,FEAT015,schema_shift,high,3.7,new categorical value appeared without contract update
EV0034,2025-11-19,FEAT005,schema_shift,low,1.2,new categorical value appeared without contract update
EV0035,2026-01-19,FEAT007,schema_shift,high,5.6,new categorical value appeared without contract update
EV0036,2025-11-06,FEAT016,research_question,high,7.5,researcher asked whether signal survives stricter validation
EV0037,2025-10-06,FEAT014,schema_shift,low,0.8,new categorical value appeared without contract update
EV0038,2025-10-13,FEAT008,late_delivery,high,1.7,vendor latency exceeded training cutoff
EV0039,2025-12-03,FEAT009,research_question,high,2.6,researcher asked whether signal survives stricter validation
EV0040,2025-10-07,FEAT011,missing_spike,critical,4.4,source collection coverage dropped by peer group
EV0041,2025-10-22,FEAT016,late_delivery,low,3.1,vendor latency exceeded training cutoff
EV0042,2025-12-17,FEAT002,schema_shift,critical,9.6,new categorical value appeared without contract update
EV0043,2025-12-16,FEAT009,duplicate_records,medium,4.7,publisher resend created duplicate observations
EV0044,2026-02-12,FEAT003,missing_spike,high,7.8,source collection coverage dropped by peer group
EV0045,2025-11-03,FEAT010,research_question,medium,4.2,researcher asked whether signal survives stricter validation
EV0046,2025-12-29,FEAT011,research_question,medium,5.3,researcher asked whether signal survives stricter validation
EV0047,2025-12-02,FEAT003,duplicate_records,low,0.6,publisher resend created duplicate observations
EV0048,2026-02-04,FEAT007,research_question,low,1.6,researcher asked whether signal survives stricter validation
EV0049,2025-10-29,FEAT007,duplicate_records,medium,0.7,publisher resend created duplicate observations
EV0050,2025-12-10,FEAT005,restatement,low,1.4,historical value changed after first availability
EV0051,2025-11-10,FEAT003,schema_shift,critical,4.2,new categorical value appeared without contract update
EV0052,2025-12-23,FEAT008,research_question,high,6.0,researcher asked whether signal survives stricter validation
EV0053,2025-12-16,FEAT009,restatement,high,8.2,historical value changed after first availability
EV0054,2026-01-23,FEAT008,schema_shift,low,0.5,new categorical value appeared without contract update
EV0055,2025-10-28,FEAT006,duplicate_records,high,6.4,publisher resend created duplicate observations
EV0056,2025-11-04,FEAT006,late_delivery,critical,1.6,vendor latency exceeded training cutoff
EV0057,2025-12-12,FEAT015,research_question,medium,5.4,researcher asked whether signal survives stricter validation
EV0058,2025-12-22,FEAT015,restatement,critical,9.6,historical value changed after first availability
EV0059,2026-01-01,FEAT004,research_question,high,7.8,researcher asked whether signal survives stricter validation
EV0060,2025-12-30,FEAT008,research_question,medium,1.8,researcher asked whether signal survives stricter validation
EV0061,2026-01-22,FEAT010,schema_shift,critical,8.4,new categorical value appeared without contract update
EV0062,2026-02-03,FEAT001,restatement,low,1.5,historical value changed after first availability
EV0063,2026-01-12,FEAT007,duplicate_records,critical,2.2,publisher resend created duplicate observations
EV0064,2026-01-06,FEAT007,duplicate_records,medium,5.0,publisher resend created duplicate observations
EV0065,2025-10-24,FEAT005,research_question,medium,5.8,researcher asked whether signal survives stricter validation
EV0066,2026-01-15,FEAT002,late_delivery,high,7.8,vendor latency exceeded training cutoff
EV0067,2025-12-01,FEAT004,duplicate_records,low,2.2,publisher resend created duplicate observations
EV0068,2025-12-23,FEAT009,research_question,high,1.2,researcher asked whether signal survives stricter validation
EV0069,2025-12-22,FEAT014,missing_spike,medium,2.1,source collection coverage dropped by peer group
EV0070,2026-01-09,FEAT006,schema_shift,medium,2.5,new categorical value appeared without contract update
EV0071,2025-10-16,FEAT014,missing_spike,low,1.5,source collection coverage dropped by peer group
EV0072,2025-12-16,FEAT011,late_delivery,high,7.9,vendor latency exceeded training cutoff
EV0073,2025-12-04,FEAT002,duplicate_records,high,1.2,publisher resend created duplicate observations
EV0074,2026-01-30,FEAT016,duplicate_records,high,7.2,publisher resend created duplicate observations
EV0075,2026-01-27,FEAT004,missing_spike,medium,1.7,source collection coverage dropped by peer group
EV0076,2026-02-24,FEAT014,schema_shift,low,1.0,new categorical value appeared without contract update
EV0077,2026-02-10,FEAT015,research_question,medium,5.1,researcher asked whether signal survives stricter validation
EV0078,2025-11-03,FEAT006,restatement,high,6.5,historical value changed after first availability
EV0079,2026-01-07,FEAT014,research_question,medium,2.3,researcher asked whether signal survives stricter validation
EV0080,2025-12-04,FEAT004,late_delivery,low,1.3,vendor latency exceeded training cutoff
EV0081,2025-12-04,FEAT009,schema_shift,low,2.7,new categorical value appeared without contract update
EV0082,2025-12-04,FEAT005,schema_shift,medium,1.0,new categorical value appeared without contract update
EV0083,2025-12-30,FEAT006,missing_spike,medium,5.0,source collection coverage dropped by peer group
EV0084,2025-11-14,FEAT005,duplicate_records,medium,1.8,publisher resend created duplicate observations
EV0085,2026-02-23,FEAT009,restatement,low,2.2,historical value changed after first availability
EV0086,2025-12-25,FEAT001,research_question,medium,3.1,researcher asked whether signal survives stricter validation
EV0087,2026-02-23,FEAT015,late_delivery,high,4.4,vendor latency exceeded training cutoff
EV0088,2025-11-25,FEAT007,duplicate_records,medium,4.1,publisher resend created duplicate observations
EV0089,2025-11-19,FEAT009,schema_shift,medium,5.8,new categorical value appeared without contract update
EV0090,2025-10-06,FEAT005,restatement,high,5.0,historical value changed after first availability
EV0091,2026-02-25,FEAT001,duplicate_records,low,2.6,publisher resend created duplicate observations
EV0092,2025-12-02,FEAT013,late_delivery,low,0.8,vendor latency exceeded training cutoff
EV0093,2026-01-07,FEAT002,restatement,low,1.5,historical value changed after first availability
EV0094,2025-10-21,FEAT014,missing_spike,low,3.0,source collection coverage dropped by peer group
EV0095,2026-02-06,FEAT010,research_question,critical,2.0,researcher asked whether signal survives stricter validation
EV0096,2026-02-06,FEAT013,restatement,medium,4.3,historical value changed after first availability
EV0097,2025-10-31,FEAT011,missing_spike,medium,5.0,source collection coverage dropped by peer group
EV0098,2025-10-28,FEAT012,research_question,low,1.2,researcher asked whether signal survives stricter validation
EV0099,2026-02-05,FEAT006,research_question,high,5.9,researcher asked whether signal survives stricter validation
EV0100,2026-01-13,FEAT016,missing_spike,high,5.2,source collection coverage dropped by peer group
EV0101,2025-11-25,FEAT001,restatement,high,4.0,historical value changed after first availability
EV0102,2025-11-21,FEAT009,research_question,medium,1.1,researcher asked whether signal survives stricter validation
EV0103,2026-01-28,FEAT006,research_question,medium,2.1,researcher asked whether signal survives stricter validation
EV0104,2025-10-03,FEAT009,restatement,low,2.0,historical value changed after first availability
EV0105,2026-01-05,FEAT004,restatement,high,5.9,historical value changed after first availability
EV0106,2026-01-23,FEAT004,duplicate_records,medium,3.5,publisher resend created duplicate observations
EV0107,2025-12-11,FEAT001,restatement,medium,4.3,historical value changed after first availability
EV0108,2025-11-21,FEAT006,missing_spike,high,5.8,source collection coverage dropped by peer group
EV0109,2025-10-23,FEAT002,missing_spike,high,7.7,source collection coverage dropped by peer group
EV0110,2026-01-13,FEAT001,schema_shift,high,5.3,new categorical value appeared without contract update
EV0111,2026-02-27,FEAT016,research_question,medium,4.4,researcher asked whether signal survives stricter validation
EV0112,2025-12-10,FEAT003,schema_shift,high,6.4,new categorical value appeared without contract update
EV0113,2025-12-25,FEAT001,restatement,medium,5.1,historical value changed after first availability
EV0114,2026-01-13,FEAT014,late_delivery,low,1.8,vendor latency exceeded training cutoff
EV0115,2025-12-22,FEAT004,restatement,low,0.6,historical value changed after first availability
EV0116,2025-11-17,FEAT003,restatement,medium,2.4,historical value changed after first availability
EV0117,2026-02-09,FEAT005,duplicate_records,high,7.8,publisher resend created duplicate observations
EV0118,2025-12-03,FEAT001,late_delivery,medium,4.1,vendor latency exceeded training cutoff
EV0119,2026-01-01,FEAT008,research_question,high,3.1,researcher asked whether signal survives stricter validation
EV0120,2025-10-08,FEAT010,missing_spike,medium,3.8,source collection coverage dropped by peer group
EV0121,2026-01-23,FEAT016,missing_spike,low,1.1,source collection coverage dropped by peer group
