feature_id,vendor_family,health_score,avg_latency_days,missing_rate,duplicate_rate,restatement_rate,high_severity_events
FEAT001,Core fundamentals,97.1,0.71,1.0,0.41,0.71,10
FEAT002,Earnings text,97.3,1.58,1.12,0.17,0.79,8
FEAT003,Supply chain web,97.4,0.74,1.0,0.29,0.66,7
FEAT004,Hiring feeds,93.0,2.5,4.59,0.29,0.98,10
FEAT005,Analyst revisions,96.3,1.56,1.37,0.42,0.93,5
FEAT006,Card spend,94.6,0.7,1.22,1.62,0.77,14
FEAT007,Core fundamentals,95.3,4.51,1.31,0.37,0.81,5
FEAT008,Earnings text,96.7,0.23,1.29,0.48,0.69,7
FEAT009,Supply chain web,96.8,0.72,1.27,0.35,0.79,10
FEAT010,Hiring feeds,96.9,1.55,1.2,0.37,0.75,7
FEAT011,Analyst revisions,0,8.48,1.0,0.31,4.84,15
FEAT012,Card spend,96.8,2.51,1.47,0.35,0.66,8
FEAT013,Core fundamentals,89.7,1.5,1.1,0.42,5.57,5
FEAT014,Earnings text,97.0,0.73,1.06,0.25,0.89,3
FEAT015,Supply chain web,34.2,5.53,4.48,0.35,0.85,17
FEAT016,Hiring feeds,96.7,0.22,1.27,0.31,0.87,8
